,BAYESIAN_std,KNN_std,RANDOMFOREST_std,SGD_std
ADULT,0.01,0.009,0.008,0.009
CADATA,,0.02,0.02,0.03
DIGITS,0.008,0.0,0.005,0.006
DOROTHEA,0.2,0.2,0.0,0.2
NEWSGROUPS,0.0007,0.0006,0.0006,0.001
CHRISTINE,0.06,0.06,0.06,0.06
JASMINE,0.06,0.05,0.05,0.06
MADELINE,0.05,0.03,0.03,0.05
PHILIPPINE,0.04,0.04,0.03,0.04
SYLVINE,0.02,0.01,0.01,0.02
ALBERT,0.02,0.0,0.0,0.01
DILBERT,0.0004,0.09,0.09,0.008
FABERT,0.006,0.005,0.005,0.005
ROBERT,0.0,0.0,0.0,0.0
VOLKERT,0.004,0.004,0.004,0.004
ALEXIS,0.01,0.0,0.01,0.008
DIONIS,,,,
GRIGORIS,0.03,0.02,0.02,
JANNIS,0.02,0.03,0.01,0.04
WALLIS,0.02,0.02,0.02,0.01
EVITA,0.0,0.05,0.06,0.04
FLORA,,,,
HELENA,0.01,0.01,0.007,
TANIA,,0.01,0.009,
YOLANDA,,0.01,0.01,0.01
ARTURO,0.03,0.03,0.02,0.03
CARLO,0.08,0.05,0.06,0.05
MARCO,0.04,0.0,0.0,
PABLO,,0.01,0.01,0.01
WALDO,0.03,0.03,0.03,0.03